contrast	estimate	se	df	z_ratio	p_value	roi	atlas
criticalAlice vs. criticalLang	0.0274566540600563	0.0412746957082972	Inf	0.665217600975236	0.505911324386422	10	DKT
criticalAlice vs. criticalMD	0.205735225774991	0.0417569854167611	Inf	4.92696548186186	8.35165018439356e-07	10	DKT
criticalLang vs. criticalMD	0.178278571714934	0.0180325862694729	Inf	9.88646714624289	4.76549288366615e-23	10	DKT
criticalAlice vs. criticalLang	0.18655679873609	0.0461680715496741	Inf	4.04081852401753	5.32649656429197e-05	11	DKT
criticalAlice vs. criticalMD	0.673266083907342	0.0468569796319818	Inf	14.368533550289	8.15395268257425e-47	11	DKT
criticalLang vs. criticalMD	0.486709285171252	0.0202826467201767	Inf	23.9963399198333	3.03654453671016e-127	11	DKT
criticalAlice vs. criticalLang	-0.574995708329094	0.0895983423153753	Inf	-6.41748154564265	1.38547148268764e-10	12	DKT
criticalAlice vs. criticalMD	-1.18816243126615	0.0894464760356296	Inf	-13.2835018653263	2.88576351460985e-40	12	DKT
criticalLang vs. criticalMD	-0.613166722937059	0.0382449706643842	Inf	-16.0326106226582	7.56372879679257e-58	12	DKT
criticalAlice vs. criticalLang	0.070106770704987	0.0427638664612743	Inf	1.63939270478439	0.101131499993198	13	DKT
criticalAlice vs. criticalMD	0.406778628607651	0.043414615967309	Inf	9.36962402049008	7.27913580025927e-21	13	DKT
criticalLang vs. criticalMD	0.336671857902664	0.0187965943890767	Inf	17.9113221753785	9.62225013517285e-72	13	DKT
criticalAlice vs. criticalLang	-0.0489504076296486	0.0692613126320939	Inf	-0.706749637992946	0.479722076530678	14	DKT
criticalAlice vs. criticalMD	-1.01464270876179	0.0691076481621683	Inf	-14.6820610416494	8.39979389895744e-49	14	DKT
criticalLang vs. criticalMD	-0.965692301132138	0.0295368864569186	Inf	-32.6944514798694	1.87274056298513e-234	14	DKT
criticalAlice vs. criticalLang	0.297741712859808	0.0723784120576999	Inf	4.11368119851053	3.89399119615007e-05	15	DKT
criticalAlice vs. criticalMD	1.54535997282304	0.0735158837939516	Inf	21.020763038833	4.2356944565374e-98	15	DKT
criticalLang vs. criticalMD	1.24761825996323	0.0318405713296647	Inf	39.1832874808018	0	15	DKT
criticalAlice vs. criticalLang	0.529390162960117	0.0706231815344647	Inf	7.49598292597127	6.58033571139042e-14	16	DKT
criticalAlice vs. criticalMD	2.70342756843184	0.0712887704960247	Inf	37.9222077982477	0	16	DKT
criticalLang vs. criticalMD	2.17403740547172	0.0307349004188437	Inf	70.7351374445583	0	16	DKT
criticalAlice vs. criticalLang	0.0984616715688189	0.0284419917835281	Inf	3.46184164309625	0.000536492721098187	17	DKT
criticalAlice vs. criticalMD	0.18561705829517	0.0288604727351371	Inf	6.43153215121057	1.26324054175119e-10	17	DKT
criticalLang vs. criticalMD	0.0871553867263513	0.0124907436276738	Inf	6.97759791764957	3.0026953846462e-12	17	DKT
criticalAlice vs. criticalLang	0.0248343020810269	0.0440339567818714	Inf	0.563980707072208	0.572767262207881	18	DKT
criticalAlice vs. criticalMD	0.20016476300438	0.0443889957010023	Inf	4.50933299668818	6.50317641941423e-06	18	DKT
criticalLang vs. criticalMD	0.175330460923353	0.019118389299585	Inf	9.17077574768073	4.69627131794118e-20	18	DKT
criticalAlice vs. criticalLang	0.339642642517929	0.0947084377940095	Inf	3.58619200600321	0.000335541942146113	19	DKT
criticalAlice vs. criticalMD	2.19533747084973	0.0956408809770051	Inf	22.9539653799044	1.34505697395724e-116	19	DKT
criticalLang vs. criticalMD	1.85569482833181	0.041246614251299	Inf	44.9902340353515	0	19	DKT
criticalAlice vs. criticalLang	0.297089127416436	0.0929089288368915	Inf	3.19763806488392	0.00138558065666374	20	DKT
