contrast	estimate	se	df	z_ratio	p_value	roi	atlas
Alice baseline	0.311547883720934	0.0826025330413768	425.897178925688	3.77165048394914	0.000185103432307081	20	GSS
Alice critical	0.754779372093027	0.082602533041377	425.897178925754	9.13748458191887	2.62256891622121e-18	20	GSS
Language baseline	0.200085254147034	0.0631555792808012	176.69896529075	3.16813267213365	0.00180802502720952	20	GSS
Language critical	0.597448403719683	0.0631555792808012	176.69896529075	9.45994654032575	1.93790305526281e-17	20	GSS
MD baseline	-0.540254486475759	0.077629556477648	356.476323076527	-6.95939164139519	1.6474118609245e-11	20	GSS
MD critical	-1.07498749599957	0.077629556477648	356.476323076527	-13.8476573199165	3.40809698173955e-35	20	GSS
Alice baseline	0.31530193023255	0.0524201426025473	300.712801770745	6.01490027646792	5.2173219707504e-09	27	GSS
Alice critical	0.501696872093016	0.0524201426025474	300.712801770719	9.57068880748592	4.08190198044088e-19	27	GSS
Language baseline	0.518149484351611	0.0425690457583598	142.902183124199	12.1719779036827	7.81926179427492e-24	27	GSS
Language critical	0.767948773144715	0.0425690457583598	142.902183124199	18.0400748822025	1.16501833980382e-38	27	GSS
MD baseline	0.594269918381439	0.0498405558902979	254.038030398216	11.9234207517561	2.51848775420745e-26	27	GSS
MD critical	0.805811956476678	0.0498405558902978	254.038030398216	16.1677963273588	6.53139012651957e-41	27	GSS
Alice baseline	1.0610462906977	0.114406399153594	339.832772273019	9.2743613866669	2.1315799019622e-18	8	GSS
Alice critical	1.69676067441861	0.114406399153595	339.832772273036	14.8309944808301	1.01316484172336e-38	8	GSS
Language baseline	0.605520998789507	0.0910022350746693	152.993412217827	6.65391348127509	4.78787592824441e-10	8	GSS
Language critical	1.15791167690109	0.0910022350746692	152.993412217827	12.7239916245025	9.32674546272021e-26	8	GSS
MD baseline	0.619202184024625	0.108331869041767	285.372430892507	5.71578972560597	2.74768879904672e-08	8	GSS
MD critical	0.745749364977006	0.108331869041767	285.372430892507	6.88393333903879	3.70114871061214e-11	8	GSS
Alice baseline	0.795652779069769	0.0902108938381435	516.299811210919	8.81991902771	1.76559298925978e-17	6	GSS
Alice critical	1.64248619767443	0.0902108938381438	516.299811210977	18.2071823899825	1.39454995114263e-57	6	GSS
Language baseline	0.354928891472969	0.0664882182558046	204.916768383947	5.33822233147272	2.48010791323885e-07	6	GSS
Language critical	0.867341231898499	0.0664882182558046	204.916768383947	13.0450364688901	1.03160829390994e-28	6	GSS
MD baseline	-0.114846718359387	0.0842273092488635	435.544223033789	-1.36353303202473	0.173418927433903	6	GSS
MD critical	-0.202827880264151	0.0842273092488634	435.544223033789	-2.40810115000661	0.0164503710370678	6	GSS
Alice baseline	0.0656972261904771	0.0385979955746637	346.593335373543	1.70208906479076	0.0896353579329182	11	GSS
Alice critical	0.355782250000001	0.0385979955746637	346.593335373525	9.21763539020511	3.00968715593094e-18	11	GSS
Language baseline	-0.0229766538513697	0.0305867397120234	155.996423666707	-0.751196566476085	0.453666098576111	11	GSS
Language critical	0.22173926017578	0.0305867397120234	155.996423666709	7.24952257950578	1.82230113270466e-11	11	GSS
MD baseline	-0.134480371171651	0.0364511572025417	289.713063100494	-3.68933064112087	0.000268502949939442	11	GSS
MD critical	-0.266543342045437	0.0364511572025417	289.713063100494	-7.31234239188575	2.57736280665929e-12	11	GSS
Alice baseline	0.226802127906979	0.0298025653197417	655.025055270979	7.61015454453986	9.56864912734469e-14	23	GSS
Alice critical	0.423413302325584	0.0298025653197418	655.025055270948	14.2072770509157	3.96771949729926e-40	23	GSS
Language baseline	0.0731364900815935	0.0210277809936133	283.59003014204	3.47808882467469	0.000584280301212194	23	GSS
Language critical	0.175258593685197	0.0210277809936133	283.59003014204	8.33462141052483	3.38910956902177e-15	23	GSS
MD baseline	0.0830343378407535	0.0275537593199585	574.11302039023	3.01353934599435	0.00269609256338638	23	GSS
MD critical	0.0817792330788485	0.0275537593199585	574.11302039023	2.96798822001802	0.0031225238235753	23	GSS
Alice baseline	0.887276174418598	0.0961570075420056	549.287905267513	9.22736883248989	5.94793302020991e-19	7	GSS
Alice critical	1.61343195348837	0.0961570075420056	549.287905267624	16.7791406443629	2.56340690196773e-51	7	GSS
Language baseline	0.433494658732402	0.0701839473142052	220.467611418408	6.17654998502289	3.11959021224587e-09	7	GSS
Language critical	0.950613987736732	0.0701839473142052	220.467611418405	13.5446070521076	8.17201265265228e-31	7	GSS
MD baseline	0.409017765185249	0.0895694766629982	466.410039198923	4.56648604439393	6.35461076170444e-06	7	GSS
MD critical	0.513658593756677	0.0895694766629982	466.410039198923	5.73475041826244	1.75728029267818e-08	7	GSS
Alice baseline	0.17966038372093	0.0441806185693077	561.088294825959	4.06649769828575	5.4553302841329e-05	14	GSS
Alice critical	0.485042523255813	0.0441806185693075	561.088294826051	10.9786268043059	1.55273012775401e-25	14	GSS
Language baseline	-0.172180189663024	0.0320767780779912	224.101976897394	-5.36775199941797	1.98710929886865e-07	14	GSS
Language critical	0.131193844819735	0.0320767780779912	224.10197689739	4.08999446580174	6.01662156473772e-05	14	GSS
MD baseline	-0.364001166005731	0.0411232428543972	477.400677966204	-8.85147037879599	1.69478748595353e-17	14	GSS
MD critical	-0.587919051720017	0.0411232428543973	477.400677966204	-14.2965148395915	7.56038434454053e-39	14	GSS
Alice baseline	-0.0760292906976728	0.0485720243845	395.048824563184	-1.56528972512693	0.118315645504981	15	GSS
Alice critical	0.0658568255813954	0.0485720243845001	395.048824563184	1.35585918882168	0.175918505885608	15	GSS
Language baseline	-0.337093613805567	0.0376329053408846	167.770050676241	-8.95741667437373	6.16008768763565e-16	15	GSS
Language critical	-0.076202959959413	0.0376329053408846	167.770050676241	-2.02490238978774	0.0444628762054208	15	GSS
MD baseline	-0.429468590746889	0.0457626567222892	330.578886988851	-9.38469532818256	1.04892164691732e-18	15	GSS
MD critical	-0.615882257413556	0.0457626567222892	330.578886988859	-13.4581840637234	3.18309664617682e-33	15	GSS
Alice baseline	-0.0798662209302319	0.0353901299256792	569.751150480351	-2.2567371495373	0.0244025646959053	13	GSS
Alice critical	0.0195781162790699	0.0353901299256792	569.751150480256	0.553208375334728	0.580337732754917	13	GSS
Language baseline	-0.16751897863113	0.0257744632023811	236.899632868787	-6.49941677992557	4.71779545484897e-10	13	GSS
Language critical	0.0444197747320986	0.0257744632023811	236.899632868787	1.72340251602194	0.0861205161073866	13	GSS
MD baseline	-0.157014576008882	0.0329101401077057	487.109343877509	-4.7710090414388	2.42627676386281e-06	13	GSS
MD critical	-0.19619680458031	0.0329101401077057	487.109343877509	-5.96159128883113	4.80008480299097e-09	13	GSS
Alice baseline	-0.0234771627906971	0.0336304700472978	451.607906140165	-0.698092020649099	0.485478928872712	12	GSS
Alice critical	0.327373418604652	0.0336304700472978	451.607906140195	9.73442887191986	1.86696358596544e-20	12	GSS
Language baseline	0.128683337565803	0.0256541709864449	192.64900479839	5.01607857972865	1.19350484255739e-06	12	GSS
Language critical	0.390080419013766	0.0256541709864449	192.649004798393	15.2053410425882	7.99357682778021e-35	12	GSS
MD baseline	-0.0108219969497025	0.0315353400225327	379.348890918645	-0.343170453908851	0.731660326420654	12	GSS
MD critical	-0.0923452731401788	0.0315353400225327	379.348890918645	-2.92831068490767	0.00361374224051325	12	GSS
